Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List,Preparation_Steps,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability,Cluster,Silhouette
R001,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,55,Medium,U539,None,3,Feedback 1,2024-07-06,Spring,Party,4,509,,14.12,402,No,3,0.35072061053548415
R002,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,39,Easy,U538,None,2,Feedback 2,2024-02-24,Winter,Casual,4,275,Gluten,16.07,183,No,1,0.29261211469023146
R003,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,36,Medium,U324,Gluten-Free,4,Feedback 3,2024-02-14,Winter,Party,5,293,,11.97,137,Yes,0,0.29884102469924656
R004,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,45,Medium,U548,Gluten-Free,2,Feedback 4,2024-04-13,Spring,Casual,6,580,,10.36,246,Yes,0,0.381943149730742
R005,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,85,Easy,U990,Vegan,5,Feedback 5,2024-08-03,Fall,Dinner,4,641,Soy,12.68,386,No,2,0.2916706730491676
R006,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,38,Medium,U649,None,1,Feedback 6,2024-10-14,Summer,Party,3,749,,12.25,248,Yes,3,0.3092853709430248
R007,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,71,Easy,U376,Vegan,2,Feedback 7,2024-04-20,Summer,Casual,5,310,Soy,7.4,297,Yes,2,0.2949745493130126
R008,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,64,Easy,U359,Vegan,3,Feedback 8,2024-01-09,Spring,Lunch,3,574,Soy,14.94,332,Yes,2,0.3694594849352922
R009,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,46,Medium,U263,Gluten-Free,3,Feedback 9,2024-05-02,Fall,Party,5,730,,10.02,335,Yes,0,0.33179034985801253
R010,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,22,Medium,U940,None,1,Feedback 10,2024-04-12,Fall,Party,4,278,,18.41,259,No,3,0.24760641067152608
R011,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,71,Hard,U563,Vegetarian,3,Feedback 11,2024-06-11,Fall,Dinner,3,481,Dairy,5.03,471,Yes,4,0.24711735756378364
R012,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,34,Easy,U761,None,3,Feedback 12,2024-05-24,Fall,Dinner,5,789,Gluten,17.95,128,No,1,0.2271332334548443
R013,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,20,Easy,U585,Vegan,2,Feedback 13,2024-02-09,Summer,Casual,5,347,Soy,14.92,397,Yes,2,0.2832564554338774
R014,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,57,Easy,U476,Vegan,2,Feedback 14,2024-12-27,Fall,Casual,5,797,Soy,14.23,53,No,2,0.2379480436662648
R015,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,33,Medium,U449,None,2,Feedback 15,2024-02-25,Spring,Party,5,731,,13.82,493,Yes,3,0.24578321084401591
R016,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,30,Medium,U969,Gluten-Free,1,Feedback 16,2024-05-02,Spring,Party,5,208,,17.49,184,Yes,0,0.2445353715925254
R017,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,86,Easy,U276,Vegan,2,Feedback 17,2024-12-06,Summer,Lunch,1,769,Soy,16.31,429,Yes,2,0.2318527970280585
R018,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,50,Hard,U646,Vegetarian,2,Feedback 18,2024-04-20,Fall,Lunch,2,473,Dairy,17.6,151,No,4,0.33664256222110633
R019,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,63,Easy,U636,None,3,Feedback 19,2024-04-26,Spring,Casual,6,735,Gluten,18.11,67,Yes,1,0.224890315577845
R020,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,47,Hard,U635,Vegetarian,4,Feedback 20,2024-05-25,Summer,Dinner,4,752,Dairy,13.82,414,Yes,4,0.29986695582488476
R021,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,28,Easy,U180,Vegan,3,Feedback 21,2024-12-17,Fall,Party,3,527,Soy,7.35,50,No,2,0.2441426589129785
R022,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,64,Medium,U874,None,3,Feedback 22,2024-09-09,Summer,Party,4,225,,19.5,288,Yes,3,0.2443868767774556
R023,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,39,Easy,U442,None,2,Feedback 23,2024-09-26,Fall,Party,3,437,Gluten,12.31,341,Yes,1,0.3613375986243012
R024,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,68,Medium,U434,Gluten-Free,4,Feedback 24,2024-06-05,Summer,Party,6,678,,14.35,128,Yes,0,0.3076186948306014
R025,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,63,Medium,U825,None,3,Feedback 25,2024-08-05,Spring,Dinner,4,258,,18.37,240,No,3,0.2707323873616983
R026,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,34,Medium,U271,None,3,Feedback 26,2024-10-17,Fall,Lunch,5,475,,6.8,436,No,3,0.2764420993770982
R027,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,32,Easy,U994,Vegan,5,Feedback 27,2024-03-08,Winter,Party,2,510,Soy,7.47,131,No,2,0.2905073671927787
R028,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,26,Hard,U583,Vegetarian,3,Feedback 28,2024-12-13,Summer,Lunch,1,477,Dairy,17.46,324,No,4,0.3097003364130005
R029,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,76,Easy,U796,None,5,Feedback 29,2024-10-28,Summer,Casual,6,388,Gluten,17.65,250,Yes,1,0.2942037169957841
R030,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,24,Hard,U413,Vegetarian,3,Feedback 30,2024-04-03,Summer,Party,4,767,Dairy,11.74,287,No,4,0.2840737530783431
R031,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,70,Medium,U664,Gluten-Free,5,Feedback 31,2024-10-27,Fall,Casual,4,569,,14.9,445,No,0,0.3226841936438351
R032,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,80,Easy,U951,None,1,Feedback 32,2024-06-01,Summer,Casual,3,609,Gluten,6.18,77,No,1,0.22161005567375977
R033,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,62,Medium,U798,None,2,Feedback 33,2024-09-13,Fall,Lunch,1,377,,17.8,89,Yes,3,0.267928539574085
R034,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,51,Easy,U469,None,2,Feedback 34,2024-12-20,Spring,Dinner,1,300,Gluten,11.81,136,No,1,0.30706844378259956
R035,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,90,Medium,U171,Gluten-Free,5,Feedback 35,2024-04-24,Summer,Dinner,4,302,,8.38,69,Yes,0,0.21947446167994605
R036,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,73,Hard,U437,Vegetarian,1,Feedback 36,2024-01-03,Fall,Dinner,4,433,Dairy,10.49,435,Yes,4,0.31611546874843094
R037,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,69,Medium,U763,Gluten-Free,4,Feedback 37,2024-03-17,Fall,Lunch,5,227,,12.18,371,Yes,0,0.29510824933366475
R038,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,33,Hard,U485,Vegetarian,3,Feedback 38,2024-08-02,Summer,Lunch,1,321,Dairy,11.93,432,No,4,0.29239247631884135
R039,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,76,Hard,U388,Vegetarian,5,Feedback 39,2024-04-11,Spring,Dinner,2,400,Dairy,17.59,463,No,4,0.264684759924948
